date_time,Hospitals,Offices,Restaurants,Schools,Shops,SFH,MFH,temperature,signal
 01/01  01:00:00,7.03483E-05,3.34181E-05,0.000177622,4.0314E-06,0.000181761,0,1.30847E-05,9.1,50.26
 01/01  02:00:00,7.03483E-05,3.34181E-05,0.000164417,4.0314E-06,0.000181761,0,5.9896E-05,9.3,48.74
 01/01  03:00:00,7.03483E-05,3.34181E-05,0.000170578,4.0314E-06,0.000181761,0,8.88387E-05,9.1,47.24
 01/01  04:00:00,7.03483E-05,3.34181E-05,0.000179531,4.0314E-06,0.000181761,0,0.000107667,9,36.29
 01/01  05:00:00,7.03483E-05,3.34181E-05,0.000186299,4.0314E-06,0.000181761,0,0.000123301,8.8,30.09
 01/01  06:00:00,7.03483E-05,3.35994E-05,0.000191702,6.41989E-06,0.000181761,0,0.000130657,8.7,27.31
 01/01  07:00:00,0.000185489,1.0436E-05,1.24176E-06,1.52158E-05,4.63639E-05,0.000421497,0.000618565,8.7,28.53
 01/01  08:00:00,0.000204811,0.000161543,0,0.000223871,6.59808E-05,0.000408981,0.000424521,8.6,26.84
 01/01  09:00:00,0.000224473,0.000200016,7.84739E-05,0.000248515,9.44788E-05,0,1.4878E-05,8.7,28.7
 01/01  10:00:00,0.000192699,0.000323647,7.201E-05,0.000277396,8.88758E-05,0,4.15984E-05,9.4,35.7
 01/01  11:00:00,0.000187001,0.000337366,6.65978E-05,0.000255408,9.98332E-05,0,0,10.1,37.53
 01/01  12:00:00,0.000157849,0.000253217,0.000186169,0.000170401,9.10234E-05,0,0,10.7,38.36
 01/01  13:00:00,0.000140116,7.45888E-05,0.00024864,7.55462E-05,7.74258E-05,0.000173567,9.61846E-05,11.2,43.95
 01/01  14:00:00,0.00012636,7.57849E-05,0.000135613,0.000146426,0.000115719,8.67837E-05,3.25738E-05,11.5,43.07
 01/01  15:00:00,0.000140507,0.000185281,1.74073E-07,0.000115143,8.70582E-05,0,0,11.6,38.82
 01/01  16:00:00,0.000129025,0.000238104,1.13341E-07,0.000136949,0.000106924,0,0,11.3,48.02
 01/01  17:00:00,0.000145583,0.000123566,1.40897E-07,0.000142444,0.000117108,0,0,10.8,48.93
 01/01  18:00:00,0.000143426,7.10755E-06,0,1.6501E-06,0.000146788,8.67837E-05,7.76152E-05,10.4,50.99
 01/01  19:00:00,0.000112413,6.98932E-07,4.72391E-05,3.94244E-05,0.000131688,0.000173567,0.000139149,9.9,52.79
 01/01  20:00:00,6.87359E-05,0,2.17711E-05,0,2.33282E-05,0.000173567,0.000108012,9.6,55.17
 01/01  21:00:00,7.93627E-05,0,0.000116149,0,0,0.000173567,0.000201456,9.3,55.05
 01/01  22:00:00,8.64458E-05,0,0.000221649,0,0,0.000216959,0.000260219,8.9,50.7
 01/01  23:00:00,0.000105245,3.34181E-05,0.000176313,0,2.66337E-05,0,0,8.5,55.12
 01/01  24:00:00,7.03483E-05,3.34181E-05,0.000194839,4.0314E-06,0.000181761,0,0,8.1,55.11
 01/02  01:00:00,7.03483E-05,4.02622E-05,0.000218375,7.57844E-06,0.000181761,0,2.53263E-05,7.1,49.97
 01/02  02:00:00,7.09127E-05,8.64606E-05,0.000247315,3.78252E-05,0.000181761,0,8.94089E-05,6,48.66
 01/02  03:00:00,7.67373E-05,0.000162191,0.000276652,8.75082E-05,0.000181761,0,0.000130705,4.9,41.56
 01/02  04:00:00,8.72713E-05,0.000221308,0.000298388,0.000126053,0.000181761,0,0.000161269,4.3,43.07
 01/02  05:00:00,9.99493E-05,0.000268439,0.000315487,0.000158231,0.000181761,0,0.000186607,3.7,38.6
 01/02  06:00:00,0.000111367,0.000314547,0.000332005,0.000189185,0.000181761,0,0.000203325,3.1,49.21
 01/02  07:00:00,0.000231432,2.73753E-05,1.61079E-06,5.76692E-05,5.00311E-05,0.00037028,0.000617925,2.7,52.54
 01/02  08:00:00,0.000249485,0.00028468,0,0.000364001,5.15113E-05,0.000535896,0.00051632,2.2,54.99
 01/02  09:00:00,0.000275342,0.000404499,0.0001413,0.000420758,9.4235E-05,0,7.03181E-05,2.2,60.04
 01/02  10:00:00,0.000268379,0.000628883,0.000137753,0.000476832,0.000109305,0,0.000130481,3.7,64.83
 01/02  11:00:00,0.000216385,0.000586582,0.000124381,0.000445177,9.16564E-05,0,6.95879E-05,4.9,64.8
 01/02  12:00:00,0.00018705,0.000269401,0.000230656,0.000307084,0.000107702,0,0,6,64.29
 01/02  13:00:00,0.000168221,4.21711E-05,0.000380371,0.000242216,8.58514E-05,0.000173567,0.000282474,6.9,63.44
 01/02  14:00:00,0.000127929,3.5286E-05,0.000205174,0.000161193,9.55305E-05,8.67837E-05,5.58835E-05,7.4,60.24
 01/02  15:00:00,0.000127423,0.000106313,2.15443E-07,0.000307303,0.000129509,0,0,7.7,59.4
 01/02  16:00:00,0.00013317,0.000121344,1.49929E-07,0.00027964,9.33632E-05,0,0,7.2,62.01
 01/02  17:00:00,0.000150931,9.82234E-05,1.17142E-07,0.000252912,7.65342E-05,0,0,6,63.59
 01/02  18:00:00,0.000158026,6.32184E-06,0,5.41764E-06,0.00014617,8.81512E-05,0.000469384,5.5,68.67
 01/02  19:00:00,0.000121892,0,7.62737E-05,0,0.000118573,0.000177675,0.000389177,4.9,70.12
 01/02  20:00:00,6.90001E-05,0,4.26036E-05,0,1.97248E-05,0.000179471,0.000322885,4.4,69.69
 01/02  21:00:00,0.000105292,6.05872E-07,0.000215303,6.1026E-05,3.55025E-06,0.000299438,0.000395388,3.8,66.9
 01/02  22:00:00,0.000108837,0,0.000362788,0,0,0.000476771,0.000463632,3.3,60.94
 01/02  23:00:00,0.000102933,6.42762E-05,0.000301772,0,2.67814E-05,0,2.20112E-05,2.7,60.07
 01/02  24:00:00,7.03483E-05,0.000132472,0.000324901,0.000168351,0.000181761,0,0.000141273,2.2,58.97
 01/03  01:00:00,7.0915E-05,0.000188627,0.00033774,0.000194713,0.000181761,0,0.000184462,2.1,53.03
 01/03  02:00:00,7.61425E-05,0.000230625,0.000345646,0.000206297,0.000181761,0,0.000208958,2,50.5
 01/03  03:00:00,8.65248E-05,0.000264658,0.000351146,0.000212128,0.000181761,0,0.000227256,1.9,48.32
 01/03  04:00:00,9.86796E-05,0.000291838,0.000355012,0.000215908,0.000181761,0,0.000242361,1.9,45.44
 01/03  05:00:00,0.000109039,0.000311732,0.000356587,0.000220131,0.000181761,0,0.000254361,1.8,45.49
 01/03  06:00:00,0.000119559,0,0,0.000223406,0.000181761,0,0.000257161,1.8,49.94
 01/03  07:00:00,0.000127659,6.59073E-07,3.79338E-08,3.39232E-05,4.43886E-05,0.000902841,0.000780457,1.8,54.97
 01/03  08:00:00,0.000294743,0.000278985,0,0.000390168,5.83458E-05,0.000715119,0.000553928,1.8,66.88
 01/03  09:00:00,0.000270562,0.00037674,0.000137131,0.000422282,8.99127E-05,0,8.4239E-05,2.1,69.47
 01/03  10:00:00,0.000254584,0.000442509,0.000102013,0.000462699,7.54924E-05,0,0.000160125,4,69.56
 01/03  11:00:00,0.000199026,0.000261755,7.32263E-05,0.000320729,9.93135E-05,0,0.00014492,5.9,69.63
