date_time,Hospitals,Offices,Restaurants,Schools,Shops,SFH,MFH
 01/01  01:00:00,9.54E-05,0,9.40E-05,7.43E-05,9.27E-05,8.67E-19,0
 01/01  02:00:00,9.32E-05,0,9.19E-05,7.27E-05,9.06E-05,0,0
 01/01  03:00:00,9.54E-05,0,9.40E-05,7.43E-05,9.27E-05,0,0
 01/01  04:00:00,0.00016072,0,9.51E-05,0.00012527,0.00015618,0,0
 01/01  05:00:00,0.00016287,0,9.72E-05,0.00012694,0.00015826,0,0
 01/01  06:00:00,0.00016394,0,9.82E-05,0.00012777,0.0001593,0.00039862,0
 01/01  07:00:00,0.00016394,0,9.82E-05,0.00012777,0.0001593,0.00017653,0
 01/01  08:00:00,0.00016501,0,0.00066944,0.00012861,0.00016035,0.00029232,0
 01/01  09:00:00,0.00016394,0,9.82E-05,0.00012777,0.0001593,0,0
 01/01  10:00:00,0.00015644,0,9.08E-05,0.00012193,0.00015202,0,0
 01/01  11:00:00,0.00014894,0,8.34E-05,0.00011608,0.00014473,0,0
 01/01  12:00:00,0.00014251,0,7.71E-05,0.00011107,0.00013848,0,0
 01/01  13:00:00,0.00013715,0,9.95E-05,5.68E-05,7.08E-05,0.00012908,0
 01/01  14:00:00,0.00013394,0,6.87E-05,5.43E-05,0.00013015,0.00012338,0
 01/01  15:00:00,0.00013287,0,6.76E-05,0.00010355,0.00012911,0,0
 01/01  16:00:00,7.18E-05,0,7.08E-05,5.60E-05,6.98E-05,0,0
 01/01  17:00:00,7.71E-05,0,7.60E-05,6.01E-05,7.50E-05,0,0
 01/01  18:00:00,8.14E-05,0,0,6.35E-05,7.91E-05,0.00014426,0
 01/01  19:00:00,8.68E-05,0,8.56E-05,6.76E-05,8.43E-05,0.00015375,0
 01/01  20:00:00,9.00E-05,0,8.87E-05,2.17E-19,8.75E-05,0.00015945,0
 01/01  21:00:00,9.32E-05,0,9.19E-05,0,2.60E-18,0.00016514,0
 01/01  22:00:00,9.75E-05,0,9.61E-05,0,0,0.00017274,0
 01/01  23:00:00,0.00010179,0,0.00010034,0,9.89E-05,0,0
 01/01  24:00:00,0.00010608,0,0.00010456,8.27E-05,0.00010308,0,0
 01/02  01:00:00,0.00014639,0,0.00020047,0.00021779,0.00011639,-8.67E-19,0.00023994
 01/02  02:00:00,0.00015592,0,0.00021352,0.00023196,0.00012397,0,0.00025555
 01/02  03:00:00,0.00016545,0,0.00022657,0.00024614,0.00013154,0,0.00027117
 01/02  04:00:00,0.00017065,0,0.00023368,0.00025387,0.00013568,0,0.00027969
 01/02  05:00:00,0.00017584,0,0.0002408,0.0002616,0.00013981,0.00043595,0.00028821
 01/02  06:00:00,0.00018104,0,0.00024792,0.00026933,0.00014394,0,0.00029673
 01/02  07:00:00,0.00018451,0,0.00025266,0.00027449,0.0001467,0.00024704,0.00030241
 01/02  08:00:00,0.00018884,0,0.00026421,0.00028093,0.00015014,0.00025511,0.00030951
 01/02  09:00:00,0.00018884,0,0.00018742,0.00020361,0.00015014,0,0.00022432
 01/02  10:00:00,0.00012387,0,0.00016963,0.00019073,9.85E-05,0,0.00020302
 01/02  11:00:00,0.00011348,0,0.00015539,0.00016882,9.02E-05,0,0.00018599
 01/02  12:00:00,0.00010395,0,0.00014235,0.00015464,8.26E-05,0,-8.67E-19
 01/02  13:00:00,9.62E-05,0,0.00015215,0.00014304,7.64E-05,0.00017922,0.00015759
 01/02  14:00:00,9.18E-05,0,0.00012574,0.0001366,7.30E-05,0.00017115,0.00015049
 01/02  15:00:00,0.00014119,0,0.00012218,0.0002036,0.00011226,0,8.52E-05
 01/02  16:00:00,9.36E-05,0,0.00012811,0.00013918,7.44E-05,0,0
 01/02  17:00:00,0.00010395,0,0.00014235,0.00015464,8.26E-05,0,0
